# veraPDF 1.30.2; corpus revision 49de56cd987929932c9e4fbbbe67d052bf44ef83
# profile directory<TAB>relative PDF path<TAB>first veraPDF failed rule<TAB>expected local rule
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t03-fail-a.pdf	ISO 19005-1:2005:6.1.12:3	PDFA1B-STRING-LENGTH-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t03-fail-b.pdf	ISO 19005-1:2005:6.1.12:3	PDFA1B-STRING-LENGTH-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t03-fail-c.pdf	ISO 19005-1:2005:6.1.12:3	PDFA1B-STRING-LENGTH-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t03-fail-d.pdf	ISO 19005-1:2005:6.1.12:3	PDFA1B-STRING-LENGTH-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t04-fail-a.pdf	ISO 19005-1:2005:6.1.12:4	PDFA1B-NAME-LENGTH-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t06-fail-a.pdf	ISO 19005-1:2005:6.1.12:6	PDFA1B-DICTIONARY-LENGTH-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t08-fail-a.pdf	ISO 19005-1:2005:6.1.12:8	PDFA1B-GRAPHICS-STATE-NESTING-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t09-fail-a.pdf	ISO 19005-1:2005:6.1.12:9	PDFA1B-DEVICEN-COMPONENTS-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t10-fail-a.pdf	ISO 19005-1:2005:6.1.12:10	PDFA1B-CMAP-MAX-CID-001
PDF_A-1b	6.1 File structure/6.1.12 Implementation limits/veraPDF test suite 6-1-12-t10-fail-b.pdf	ISO 19005-1:2005:6.1.12:10	PDFA1B-CMAP-MAX-CID-001
PDF_A-1b	6.1 File structure/6.1.2 File header/veraPDF test suite 6-1-2-t01-fail-a.pdf	ISO 19005-1:2005:6.1.2:1	PDFA1B-HEADER-001
PDF_A-1b	6.1 File structure/6.1.2 File header/veraPDF test suite 6-1-2-t01-fail-b.pdf	ISO 19005-1:2005:6.1.2:1	PDFA1B-HEADER-001
PDF_A-1b	6.1 File structure/6.1.2 File header/veraPDF test suite 6-1-2-t02-fail-a.pdf	ISO 19005-1:2005:6.1.2:2	PDFA1B-HEADER-BINARY-COMMENT-001
PDF_A-1b	6.1 File structure/6.1.2 File header/veraPDF test suite 6-1-2-t02-fail-b.pdf	ISO 19005-1:2005:6.1.2:2	PDFA1B-HEADER-BINARY-COMMENT-001
PDF_A-1b	6.1 File structure/6.1.2 File header/veraPDF test suite 6-1-2-t02-fail-c.pdf	ISO 19005-1:2005:6.1.2:2	PDFA1B-HEADER-BINARY-COMMENT-001
PDF_A-1b	6.1 File structure/6.1.3 File trailer/veraPDF test suite 6-1-3-t01-fail-a.pdf	ISO 19005-1:2005:6.1.3:1	PDFA1B-TRAILER-ID-001
PDF_A-1b	6.1 File structure/6.1.3 File trailer/veraPDF test suite 6-1-3-t02-fail-a.pdf	ISO 19005-1:2005:6.1.3:4	PDFA1B-LINEARIZED-TRAILER-ID-001
PDF_A-1b	6.1 File structure/6.1.4 Cross reference table/veraPDF test suite 6-1-4-t01-fail-a.pdf	ISO 19005-1:2005:6.1.4:1	PDFA1B-XREF-SUBSECTION-SPACING-001
PDF_A-1b	6.1 File structure/6.1.4 Cross reference table/veraPDF test suite 6-1-4-t01-fail-b.pdf	ISO 19005-1:2005:6.1.4:1	PDFA1B-XREF-SUBSECTION-SPACING-001
PDF_A-1b	6.1 File structure/6.1.4 Cross reference table/veraPDF test suite 6-1-4-t02-fail-a.pdf	ISO 19005-1:2005:6.1.4:2	PDFA1B-XREF-EOL-001
PDF_A-1b	6.1 File structure/6.1.4 Cross reference table/veraPDF test suite 6-1-4-t02-fail-b.pdf	ISO 19005-1:2005:6.1.4:2	PDFA1B-XREF-EOL-001
PDF_A-1b	6.1 File structure/6.1.4 Cross reference table/veraPDF test suite 6-1-4-t03-fail-a.pdf	ISO 19005-1:2005:6.1.4:3	PDFA1B-XREF-STREAM-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-a.pdf	ISO 19005-1:2005:6.7.3:2	PDFA1B-INFO-TITLE-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-b.pdf	ISO 19005-1:2005:6.7.3:3	PDFA1B-INFO-AUTHOR-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-c.pdf	ISO 19005-1:2005:6.7.3:4	PDFA1B-INFO-SUBJECT-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-d.pdf	ISO 19005-1:2005:6.7.3:5	PDFA1B-INFO-KEYWORDS-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-e.pdf	ISO 19005-1:2005:6.7.3:6	PDFA1B-INFO-CREATOR-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-f.pdf	ISO 19005-1:2005:6.7.3:7	PDFA1B-INFO-PRODUCER-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-g.pdf	ISO 19005-1:2005:6.7.3:1	PDFA1B-INFO-CREATIONDATE-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-h.pdf	ISO 19005-1:2005:6.7.3:8	PDFA1B-INFO-MODDATE-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-i.pdf	ISO 19005-1:2005:6.7.3:2	PDFA1B-INFO-TITLE-001
PDF_A-1b	6.1 File structure/6.1.5 Document information dictionary/veraPDF test suite 6-1-5-t01-fail-j.pdf	ISO 19005-1:2005:6.7.3:2	PDFA1B-INFO-TITLE-001
PDF_A-1b	6.1 File structure/6.1.6 String objects/veraPDF test suite 6-1-6-t01-fail-a.pdf	ISO 19005-1:2005:6.1.6:1	PDFA1B-HEX-STRING-LENGTH-001
PDF_A-1b	6.1 File structure/6.1.6 String objects/veraPDF test suite 6-1-6-t01-fail-b.pdf	ISO 19005-1:2005:6.1.6:2	PDFA1B-HEX-STRING-CHARACTERS-001
PDF_A-1b	6.1 File structure/6.1.8 Indirect objects/veraPDF test suite 6-1-8-t01-fail-a.pdf	ISO 19005-1:2005:6.1.8:1	PDFA1B-INDIRECT-OBJECT-SYNTAX-001
PDF_A-1b	6.2 Graphics/6.2.2 Output intent/veraPDF test suite 6-2-2-t02-fail-a.pdf	ISO 19005-1:2005:6.2.3.3:3	PDFA1B-DEVICE-GRAY-001
PDF_A-1b	6.2 Graphics/6.2.2 Output intent/veraPDF test suite 6-2-2-t03-fail-a.pdf	ISO 19005-1:2005:6.2.2:1	PDFA1B-OUTPUTINTENT-001
PDF_A-1b	6.2 Graphics/6.2.2 Output intent/veraPDF test suite 6-2-2-t03-fail-b.pdf	ISO 19005-1:2005:6.2.3.2:2	PDFA1B-ICCBASED-COMPONENTS-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-a.pdf	ISO 19005-1:2005:6.2.3.3:1	PDFA1B-DEVICE-RGB-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-b.pdf	ISO 19005-1:2005:6.2.3.3:1	PDFA1B-DEVICE-RGB-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-c.pdf	ISO 19005-1:2005:6.2.3.3:1	PDFA1B-DEVICE-RGB-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-d.pdf	ISO 19005-1:2005:6.2.3.3:1	PDFA1B-DEVICE-RGB-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-e.pdf	ISO 19005-1:2005:6.2.3.3:1	PDFA1B-DEVICE-RGB-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-f.pdf	ISO 19005-1:2005:6.2.3.3:1	PDFA1B-DEVICE-RGB-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-h.pdf	ISO 19005-1:2005:6.2.3.3:2	PDFA1B-DEVICE-CMYK-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-i.pdf	ISO 19005-1:2005:6.2.3.3:2	PDFA1B-DEVICE-CMYK-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-j.pdf	ISO 19005-1:2005:6.2.3.3:2	PDFA1B-DEVICE-CMYK-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-k.pdf	ISO 19005-1:2005:6.2.3.3:2	PDFA1B-DEVICE-CMYK-001
PDF_A-1b	6.2 Graphics/6.2.3.3 Uncalibrated color space/veraPDF test suite 6-2-3-3-t01-fail-l.pdf	ISO 19005-1:2005:6.2.3.3:2	PDFA1B-DEVICE-CMYK-001
